-0.00324283 0.0143257 -0.00618876 0.999873 
9.42271 4.55747 5.29748 0 0
9.57588 4.57699 5.19844 0 0
9.60133 4.58014 5.18426 0 0
9.80484 4.60775 5.18218 0 0
5.95345 4.27273 5.94046 0 0
6.33039 4.2922 5.6032 0 0
6.42283 4.29797 5.54674 0 0
6.48643 4.31165 5.8524 0 0
6.57625 4.30724 5.44799 0 0
6.60686 4.3088 5.41989 0 0
6.63729 4.30956 5.36396 0 0
6.66923 4.31712 5.54463 0 0
6.72882 4.3123 5.21007 0 0
6.75982 4.3151 5.22373 0 0
6.8217 4.31917 5.19536 0 0
6.88345 4.32091 5.08348 0 0
6.91428 4.3206 4.98578 0 0
7.04148 4.33018 4.97077 0 0
7.07403 4.33388 5.01225 0 0
7.10586 4.33359 4.91455 0 0
7.13814 4.3345 4.8586 0 0
7.23714 4.34297 4.88559 0 0
7.27026 4.34517 4.87139 0 0
