-0.000470787 0.00031065 0.000786763 1.0 
6.99763 5.23337 6.39081 0 0
7.02977 5.23551 6.50218 0 0
7.06197 5.23742 6.4186 0 0
7.09458 5.23942 6.54388 0 0
7.19305 5.24535 6.44632 0 0
7.22612 5.24743 6.34882 0 0
7.36015 5.25689 6.54362 0 0
7.42752 5.26179 6.43216 0 0
7.46122 5.26417 6.29289 0 0
7.49541 5.26676 6.61311 0 0
7.5291 5.26889 6.37637 0 0
7.56304 5.27109 6.37633 0 0
7.59689 5.27318 6.29276 0 0
7.63075 5.2753 6.26488 0 0
7.66459 5.27749 6.30661 0 0
7.69836 5.27973 6.3762 0 0
7.73185 5.28189 6.2787 0 0
7.76548 5.28427 6.50145 0 0
7.8316 5.28874 6.30645 0 0
7.897 5.29332 6.29246 0 0
7.92944 5.29563 6.44559 0 0
7.96139 5.29773 6.38987 0 0
7.9931 5.29976 6.43161 0 0
8.0555 5.30341 6.50117 0 0
8.0862 5.30508 6.51506 0 0
8.14665 5.30831 6.48715 0 0
8.23541 5.31341 6.44529 0 0
8.2937 5.31732 6.64017 0 0
8.32225 5.3192 6.38951 0 0
8.43613 5.3283 6.50079 0 0
8.46449 5.33082 6.64001 0 0
8.52079 5.33591 6.68172 0 0
8.5767 5.34108 6.50065 0 0
8.63262 5.34665 6.51452 0 0
8.68841 5.35261 6.62586 0 0
8.71619 5.35569 6.65368 0 0
8.99007 5.38781 6.90403 0 0
9.25599 5.41285 7.23794 0 0
9.36053 5.42231 7.57202 0 0
9.43794 5.42877 7.40485 0 0
4.50881 5.06941 8.14769 0 0
4.59915 5.07647 8.11975 0 0
4.62974 5.07901 8.06403 0 0
4.69128 5.08402 7.57662 0 0
5.07722 5.11549 7.0332 0 0
5.11058 5.1184 7.54836 0 0
5.14301 5.12067 7.03314 0 0
5.27461 5.13105 6.92162 0 0
5.34023 5.13636 6.82408 0 0
5.43827 5.14469 6.79614 0 0
5.47061 5.14745 6.60117 0 0
5.50312 5.15042 6.68468 0 0
5.56755 5.15632 6.53145 0 0
5.59985 5.1595 6.67066 0 0
5.63192 5.16263 6.64278 0 0
5.69592 5.16909 6.61487 0 0
5.72802 5.17252 6.768 0 0
5.7598 5.17582 6.6148 0 0
5.79184 5.17932 6.72616 0 0
5.85566 5.18621 6.62863 0 0
5.88776 5.18975 6.73999 0 0
5.98394 5.19962 6.71204 0 0
6.01597 5.20227 6.64239 0 0
6.2413 5.21648 6.51685 0 0
6.27522 5.21966 8.27125 0 0
6.30589 5.22078 6.60034 0 0
6.37011 5.22518 6.47496 0 0
6.4022 5.22752 6.5167 0 0
6.43417 5.22984 6.54451 0 0
6.46593 5.23206 6.48878 0 0
6.4975 5.23414 6.41913 0 0
6.52916 5.23617 6.62796 0 0
6.56031 5.23784 6.46084 0 0
6.59145 5.23955 6.43297 0 0
6.62248 5.24127 6.39116 0 0
6.65352 5.2431 6.46075 0 0
6.68442 5.24494 6.4468 0 0
6.71525 5.24686 6.405 0 0
6.77696 5.25094 6.37709 0 0
6.80798 5.25321 6.50237 0 0
6.83889 5.25545 6.44665 0 0
6.8699 5.25773 6.39092 0 0
6.90112 5.26014 6.44658 0 0
6.93248 5.26254 6.4744 0 0
6.96392 5.26482 6.39083 0 0
7.02777 5.26923 6.51608 0 0
7.12494 5.27505 6.33497 0 0
7.15792 5.27715 6.4881 0 0
7.19089 5.2792 6.46022 0 0
7.22399 5.28132 6.4045 0 0
7.25717 5.28345 6.29307 0 0
7.35774 5.29052 6.33474 0 0
7.56075 5.30467 6.29277 0 0
7.66238 5.3112 6.32052 0 0
7.79683 5.32043 6.83558 0 0
7.82935 5.32235 6.26466 0 0
7.86377 5.32565 7.94944 0 0
7.8949 5.32694 6.41776 0 0
7.95925 5.33124 6.45947 0 0
8.08398 5.33859 6.38973 0 0
8.11446 5.34031 6.44539 0 0
8.14463 5.34202 6.48713 0 0
8.20405 5.34542 6.43138 0 0
8.23344 5.34722 6.43135 0 0
8.26265 5.3491 6.47309 0 0
8.32038 5.35304 6.41734 0 0
8.46267 5.36438 6.62606 0 0
8.49077 5.36676 6.57034 0 0
8.51897 5.36928 6.65385 0 0
8.54708 5.37184 6.70952 0 0
8.65888 5.3825 6.68156 0 0
8.71474 5.38841 6.95999 0 0
8.85252 5.40361 6.90415 0 0
8.96164 5.41588 7.14075 0 0
8.98964 5.41941 8.18503 0 0
9.25433 5.44496 7.1683 0 0
9.53906 5.46989 7.33511 0 0
9.69257 5.478 7.76661 0 0
4.50682 5.10272 7.99451 0 0
4.78384 5.12623 7.59044 0 0
4.84779 5.13169 7.59037 0 0
5.40346 5.17608 6.65691 0 0
5.43597 5.17884 6.55941 0 0
5.46864 5.18181 6.72646 0 0
5.50098 5.18468 6.65681 0 0
5.53338 5.18769 6.74032 0 0
5.56548 5.19063 6.61497 0 0
5.59772 5.19378 6.74026 0 0
5.62964 5.19683 6.58706 0 0
5.69362 5.20331 6.61485 0 0
5.72543 5.20657 6.51735 0 0
5.75732 5.20993 6.50339 0 0
5.78929 5.21342 6.60083 0 0
5.82125 5.21691 6.67041 0 0
5.9491 5.23042 6.60067 0 0
6.04535 5.23847 6.58665 0 0
6.07746 5.24056 6.54484 0 0
6.23875 5.25046 6.51684 0 0
6.4319 5.26361 6.57234 0 0
6.46377 5.26581 6.60016 0 0
6.4953 5.26779 6.43304 0 0
6.52675 5.26969 6.37731 0 0
6.55876 5.27194 7.07348 0 0
6.74423 5.28271 6.48849 0 0
6.77511 5.28479 6.50238 0 0
6.80586 5.28684 6.32134 0 0
6.83691 5.28911 6.41878 0 0
6.86788 5.29133 6.32128 0 0
6.96185 5.29816 6.25157 0 0
7.05765 5.30445 6.154 0 0
7.09036 5.30665 6.47423 0 0
7.12285 5.30857 6.33495 0 0
7.22165 5.31478 6.22346 0 0
7.25505 5.31707 6.36267 0 0
7.35549 5.32399 6.27903 0 0
7.38918 5.32639 6.26507 0 0
7.42298 5.32881 6.29289 0 0
7.45694 5.33127 6.41817 0 0
7.52469 5.33586 6.36241 0 0
7.55859 5.33809 6.33452 0 0
7.59246 5.34026 6.29272 0 0
7.62638 5.34248 6.33446 0 0
7.66 5.34456 6.15341 0 0
7.69387 5.34687 6.33439 0 0
7.79414 5.35355 6.32037 0 0
7.82712 5.35573 6.23679 0 0
7.89264 5.36022 6.34812 0 0
7.92485 5.36229 6.2367 0 0
7.95686 5.36437 6.23666 0 0
7.98864 5.3664 6.30625 0 0
8.02005 5.36833 6.33407 0 0
8.08181 5.37191 6.27831 0 0
8.17249 5.37726 6.47316 0 0
8.20193 5.37889 6.25035 0 0
8.23218 5.38129 7.15538 0 0
8.26071 5.38273 6.45915 0 0
8.31845 5.38663 6.37555 0 0
8.37566 5.39083 6.38942 0 0
8.4043 5.39319 6.6261 0 0
8.48885 5.39997 6.43108 0 0
8.54513 5.40485 6.52849 0 0
8.5733 5.40741 6.6677 0 0
8.71256 5.42045 6.50048 0 0
8.82314 5.43189 6.62568 0 0
8.8505 5.43473 6.54211 0 0
8.90528 5.44059 6.68129 0 0
8.9324 5.4434 6.59772 0 0
8.98668 5.44915 6.75083 0 0
9.1208 5.46313 7.05703 0 0
9.27962 5.48013 7.96193 0 0
9.30494 5.48235 7.15431 0 0
9.58891 5.50637 7.73884 0 0
9.76678 5.51311 7.52981 0 0
4.38848 5.12879 8.03638 0 0
4.53477 5.13865 8.00838 0 0
4.5948 5.14363 7.5906 0 0
4.71857 5.15485 7.54871 0 0
4.97488 5.17648 7.10288 0 0
5.00756 5.1791 7.08893 0 0
5.04027 5.18167 7.0332 0 0
5.10592 5.18681 6.96351 0 0
5.1387 5.1893 6.81031 0 0
5.17171 5.19193 6.89383 0 0
5.23739 5.19698 6.67098 0 0
