0.00466313 0.00393825 0.00175825 0.99998 
6.07133 2.34035 4.59497 0 0
6.1007 2.34118 4.65094 0 0
6.1604 2.34183 4.65149 0 0
6.19034 2.34197 4.63785 0 0
6.2201 2.34224 4.63812 0 0
6.25006 2.34228 4.61055 0 0
6.28033 2.34203 4.54121 0 0
6.30987 2.34236 4.54148 0 0
6.33944 2.34263 4.52783 0 0
6.39903 2.34277 4.41698 0 0
6.45798 2.3435 4.32005 0 0
6.54495 2.34608 4.22336 0 0
6.5729 2.34792 4.27931 0 0
6.6008 2.34989 4.33525 0 0
6.68768 2.35369 4.16893 0 0
6.71679 2.35507 4.11349 0 0
6.74541 2.35705 4.12767 0 0
6.92375 2.36868 4.15709 0 0
6.95704 2.36877 3.9346 0 0
7.02078 2.37262 3.96301 0 0
7.29432 2.38619 3.8262 0 0
7.32941 2.38808 3.79866 0 0
7.63383 2.41296 3.70382 0 0
8.18615 2.47869 3.4578 0 0
8.21579 2.4822 3.47197 0 0
4.27295 2.35395 5.83138 0 0
4.32694 2.35406 5.85973 0 0
4.35435 2.35399 5.85999 0 0
4.41154 2.35242 5.6795 0 0
4.46851 2.35183 5.62434 0 0
4.49696 2.35186 5.63853 0 0
4.52589 2.35168 5.62487 0 0
4.70535 2.34893 5.30629 0 0
4.85701 2.34766 5.12669 0 0
4.88696 2.34794 5.15481 0 0
4.94865 2.34726 5.04399 0 0
4.97903 2.34739 5.04427 0 0
5.04009 2.34759 5.03092 0 0
5.10235 2.34699 4.90618 0 0
5.13371 2.34659 4.82292 0 0
5.16432 2.34686 4.8232 0 0
5.19482 2.34728 4.83741 0 0
5.22571 2.3474 4.80985 0 0
5.25645 2.34767 4.7962 0 0
5.28705 2.34811 4.79649 0 0
5.31776 2.34845 4.78284 0 0
5.34883 2.34852 4.72743 0 0
5.41037 2.34914 4.65838 0 0
5.44055 2.34989 4.67258 0 0
5.47092 2.35047 4.65893 0 0
5.50145 2.35089 4.61743 0 0
5.5311 2.352 4.65948 0 0
